,location_name,cause_name,year,GBD_val
495215,World Bank Low Income,Cardiovascular diseases,2009,2820.7787925829603
495221,World Bank Low Income,Cardiovascular diseases,2010,2782.6176007292274
495224,World Bank Low Income,Cardiovascular diseases,2011,2749.803816797483
495233,World Bank Low Income,Cardiovascular diseases,2012,2722.802309066181
495239,World Bank Low Income,Cardiovascular diseases,2013,2692.9560617879
495245,World Bank Low Income,Cardiovascular diseases,2014,2667.1863603429897
495248,World Bank Low Income,Cardiovascular diseases,2015,2646.221636807007
495263,World Bank Low Income,Cardiovascular diseases,2016,2624.009054843992
495257,World Bank Low Income,Cardiovascular diseases,2017,2602.7743550009573
492245,World Bank Lower Middle Income,Cardiovascular diseases,1990,4122.052277161554
492251,World Bank Lower Middle Income,Cardiovascular diseases,1991,4137.341202998652
492257,World Bank Lower Middle Income,Cardiovascular diseases,1992,4172.857121911057
492263,World Bank Lower Middle Income,Cardiovascular diseases,1993,4159.275404322839
492269,World Bank Lower Middle Income,Cardiovascular diseases,1994,4167.094480596322
492275,World Bank Lower Middle Income,Cardiovascular diseases,1995,4170.586836072486
492281,World Bank Lower Middle Income,Cardiovascular diseases,1996,4160.354052982135
492287,World Bank Lower Middle Income,Cardiovascular diseases,1997,4215.307176346812
492293,World Bank Lower Middle Income,Cardiovascular diseases,1998,4173.3899354764735
492299,World Bank Lower Middle Income,Cardiovascular diseases,1999,4142.287816630177
492305,World Bank Lower Middle Income,Cardiovascular diseases,2000,4146.066264293763
492311,World Bank Lower Middle Income,Cardiovascular diseases,2001,4141.0093788872355
492317,World Bank Lower Middle Income,Cardiovascular diseases,2002,4139.268396682939
492323,World Bank Lower Middle Income,Cardiovascular diseases,2003,4116.971316423837
492329,World Bank Lower Middle Income,Cardiovascular diseases,2004,4067.881916427109
492335,World Bank Lower Middle Income,Cardiovascular diseases,2005,4099.418679093437
492341,World Bank Lower Middle Income,Cardiovascular diseases,2006,4119.858135427608
492347,World Bank Lower Middle Income,Cardiovascular diseases,2007,4166.644106543634
492353,World Bank Lower Middle Income,Cardiovascular diseases,2008,4215.613966106032
492359,World Bank Lower Middle Income,Cardiovascular diseases,2009,4222.330583031153
492365,World Bank Lower Middle Income,Cardiovascular diseases,2010,4260.2162826120975
492368,World Bank Lower Middle Income,Cardiovascular diseases,2011,4284.21670164528
492377,World Bank Lower Middle Income,Cardiovascular diseases,2012,4309.46137172291
492383,World Bank Lower Middle Income,Cardiovascular diseases,2013,4304.9271818451625
492389,World Bank Lower Middle Income,Cardiovascular diseases,2014,4304.841345481481
492392,World Bank Lower Middle Income,Cardiovascular diseases,2015,4371.278817808802
492407,World Bank Lower Middle Income,Cardiovascular diseases,2016,4397.876843872464
492401,World Bank Lower Middle Income,Cardiovascular diseases,2017,4385.449995307546
493589,World Bank Upper Middle Income,Cardiovascular diseases,1990,4649.802991309029
493595,World Bank Upper Middle Income,Cardiovascular diseases,1991,4661.337389731283
493601,World Bank Upper Middle Income,Cardiovascular diseases,1992,4756.5432609376
493607,World Bank Upper Middle Income,Cardiovascular diseases,1993,4955.594403047363
493613,World Bank Upper Middle Income,Cardiovascular diseases,1994,5059.175773588768
493619,World Bank Upper Middle Income,Cardiovascular diseases,1995,5005.812556615758
493625,World Bank Upper Middle Income,Cardiovascular diseases,1996,4934.042759854515
493631,World Bank Upper Middle Income,Cardiovascular diseases,1997,4848.434707636642
493637,World Bank Upper Middle Income,Cardiovascular diseases,1998,4814.5196311597665
493643,World Bank Upper Middle Income,Cardiovascular diseases,1999,4896.980702222372
493649,World Bank Upper Middle Income,Cardiovascular diseases,2000,4963.341571532008
493655,World Bank Upper Middle Income,Cardiovascular diseases,2001,4959.523885897878
493661,World Bank Upper Middle Income,Cardiovascular diseases,2002,5028.431767403054
493667,World Bank Upper Middle Income,Cardiovascular diseases,2003,5076.232127824964
493673,World Bank Upper Middle Income,Cardiovascular diseases,2004,5058.249763308203
493679,World Bank Upper Middle Income,Cardiovascular diseases,2005,5069.494153079209
493685,World Bank Upper Middle Income,Cardiovascular diseases,2006,4872.234649745923
493691,World Bank Upper Middle Income,Cardiovascular diseases,2007,4776.870922493572
493697,World Bank Upper Middle Income,Cardiovascular diseases,2008,4810.241792344365
493703,World Bank Upper Middle Income,Cardiovascular diseases,2009,4822.565016412415
493709,World Bank Upper Middle Income,Cardiovascular diseases,2010,4883.184386576448
493715,World Bank Upper Middle Income,Cardiovascular diseases,2011,4846.845120004392
493721,World Bank Upper Middle Income,Cardiovascular diseases,2012,4844.439787155536
493727,World Bank Upper Middle Income,Cardiovascular diseases,2013,4816.753572097828
493733,World Bank Upper Middle Income,Cardiovascular diseases,2014,4909.336726445633
493739,World Bank Upper Middle Income,Cardiovascular diseases,2015,4992.170230517309
493751,World Bank Upper Middle Income,Cardiovascular diseases,2016,5023.880119955307
493745,World Bank Upper Middle Income,Cardiovascular diseases,2017,4978.675299444835
518789,World Bank High Income,Chronic respiratory diseases,1990,630.8519956769339
518795,World Bank High Income,Chronic respiratory diseases,1991,632.5262213137989
518801,World Bank High Income,Chronic respiratory diseases,1992,628.5173667661115
518807,World Bank High Income,Chronic respiratory diseases,1993,636.6801604988514
518813,World Bank High Income,Chronic respiratory diseases,1994,633.7013836540527
518819,World Bank High Income,Chronic respiratory diseases,1995,640.780787487327
518825,World Bank High Income,Chronic respiratory diseases,1996,636.0113198349635
518831,World Bank High Income,Chronic respiratory diseases,1997,631.8249073238094
518837,World Bank High Income,Chronic respiratory diseases,1998,635.3047484840721
518843,World Bank High Income,Chronic respiratory diseases,1999,642.4813168974867
518849,World Bank High Income,Chronic respiratory diseases,2000,633.4622737802413
518855,World Bank High Income,Chronic respiratory diseases,2001,627.7538545445708
518861,World Bank High Income,Chronic respiratory diseases,2002,627.9838560286938
518867,World Bank High Income,Chronic respiratory diseases,2003,630.60384582605
518873,World Bank High Income,Chronic respiratory diseases,2004,616.4798167186296
518879,World Bank High Income,Chronic respiratory diseases,2005,620.5712300551166
518885,World Bank High Income,Chronic respiratory diseases,2006,614.7450562665589
518891,World Bank High Income,Chronic respiratory diseases,2007,616.6366692371428
518897,World Bank High Income,Chronic respiratory diseases,2008,620.5342009509812
518903,World Bank High Income,Chronic respiratory diseases,2009,621.28984149034
518909,World Bank High Income,Chronic respiratory diseases,2010,619.1924233191022
518915,World Bank High Income,Chronic respiratory diseases,2011,627.1697540288224
518921,World Bank High Income,Chronic respiratory diseases,2012,627.8529434188442
518927,World Bank High Income,Chronic respiratory diseases,2013,632.2798265295849
518933,World Bank High Income,Chronic respiratory diseases,2014,631.3532057088162
518939,World Bank High Income,Chronic respiratory diseases,2015,644.7947056938589
518951,World Bank High Income,Chronic respiratory diseases,2016,646.987175280198
518945,World Bank High Income,Chronic respiratory diseases,2017,653.8099741864594
529205,World Bank Low Income,Chronic respiratory diseases,1990,968.6105731499885
529211,World Bank Low Income,Chronic respiratory diseases,1991,954.1873759288845
529217,World Bank Low Income,Chronic respiratory diseases,1992,940.6054233113119
529223,World Bank Low Income,Chronic respiratory diseases,1993,929.3426967020928
529229,World Bank Low Income,Chronic respiratory diseases,1994,917.263947702919
529235,World Bank Low Income,Chronic respiratory diseases,1995,903.6350377769734
529241,World Bank Low Income,Chronic respiratory diseases,1996,884.5363478250396
529247,World Bank Low Income,Chronic respiratory diseases,1997,863.5922675865262
529253,World Bank Low Income,Chronic respiratory diseases,1998,845.0281944910793
529259,World Bank Low Income,Chronic respiratory diseases,1999,823.2907901116959
529265,World Bank Low Income,Chronic respiratory diseases,2000,803.2436717697605
529271,World Bank Low Income,Chronic respiratory diseases,2001,782.0250519356994
529277,World Bank Low Income,Chronic respiratory diseases,2002,760.2191082837054
529283,World Bank Low Income,Chronic respiratory diseases,2003,744.6739426759102
529289,World Bank Low Income,Chronic respiratory diseases,2004,728.4349102952615
529295,World Bank Low Income,Chronic respiratory diseases,2005,712.0330752802553
529301,World Bank Low Income,Chronic respiratory diseases,2006,701.2291951309908
529307,World Bank Low Income,Chronic respiratory diseases,2007,690.7245302742996
529313,World Bank Low Income,Chronic respiratory diseases,2008,680.244414498523
529319,World Bank Low Income,Chronic respiratory diseases,2009,670.827986363787
529325,World Bank Low Income,Chronic respiratory diseases,2010,660.8544126891138
529331,World Bank Low Income,Chronic respiratory diseases,2011,651.7155568737818
529337,World Bank Low Income,Chronic respiratory diseases,2012,642.9309744515359
529343,World Bank Low Income,Chronic respiratory diseases,2013,633.4939520778411
529349,World Bank Low Income,Chronic respiratory diseases,2014,624.5657639050394
529352,World Bank Low Income,Chronic respiratory diseases,2015,616.4946711942172
529367,World Bank Low Income,Chronic respiratory diseases,2016,607.2776319965983
529361,World Bank Low Income,Chronic respiratory diseases,2017,598.8954437359181
526349,World Bank Lower Middle Income,Chronic respiratory diseases,1990,1632.4810341941516
526355,World Bank Lower Middle Income,Chronic respiratory diseases,1991,1615.165797475367
526361,World Bank Lower Middle Income,Chronic respiratory diseases,1992,1605.4057370559065
526367,World Bank Lower Middle Income,Chronic respiratory diseases,1993,1571.6433467020518
526373,World Bank Lower Middle Income,Chronic respiratory diseases,1994,1545.1655060480075
526379,World Bank Lower Middle Income,Chronic respiratory diseases,1995,1523.6568674434973
526385,World Bank Lower Middle Income,Chronic respiratory diseases,1996,1514.957662811911
526391,World Bank Lower Middle Income,Chronic respiratory diseases,1997,1537.965809370139
526397,World Bank Lower Middle Income,Chronic respiratory diseases,1998,1518.2979906554126
526403,World Bank Lower Middle Income,Chronic respiratory diseases,1999,1455.3141485133285
526409,World Bank Lower Middle Income,Chronic respiratory diseases,2000,1410.7493148302883
526415,World Bank Lower Middle Income,Chronic respiratory diseases,2001,1367.406207885262
526421,World Bank Lower Middle Income,Chronic respiratory diseases,2002,1314.8882213012732
526427,World Bank Lower Middle Income,Chronic respiratory diseases,2003,1257.4313484795293
526433,World Bank Lower Middle Income,Chronic respiratory diseases,2004,1187.757833912795
526439,World Bank Lower Middle Income,Chronic respiratory diseases,2005,1154.9175805575358
526445,World Bank Lower Middle Income,Chronic respiratory diseases,2006,1151.202769627327
526451,World Bank Lower Middle Income,Chronic respiratory diseases,2007,1148.928415225842
526457,World Bank Lower Middle Income,Chronic respiratory diseases,2008,1145.0567284189256
526463,World Bank Lower Middle Income,Chronic respiratory diseases,2009,1142.23472750268
526469,World Bank Lower Middle Income,Chronic respiratory diseases,2010,1141.3766728288642
526475,World Bank Lower Middle Income,Chronic respiratory diseases,2011,1133.6710325561053
526481,World Bank Lower Middle Income,Chronic respiratory diseases,2012,1116.2569395368744
526487,World Bank Lower Middle Income,Chronic respiratory diseases,2013,1117.192376312641
526493,World Bank Lower Middle Income,Chronic respiratory diseases,2014,1123.0099915766214
526496,World Bank Lower Middle Income,Chronic respiratory diseases,2015,1135.1463137807525
526511,World Bank Lower Middle Income,Chronic respiratory diseases,2016,1146.0302150768719
526505,World Bank Lower Middle Income,Chronic respiratory diseases,2017,1148.1092800986721
527693,World Bank Upper Middle Income,Chronic respiratory diseases,1990,1330.14307405175
527699,World Bank Upper Middle Income,Chronic respiratory diseases,1991,1331.599787887356
527705,World Bank Upper Middle Income,Chronic respiratory diseases,1992,1334.0341627977955
527711,World Bank Upper Middle Income,Chronic respiratory diseases,1993,1335.6304221314388
527717,World Bank Upper Middle Income,Chronic respiratory diseases,1994,1328.6753815917045
527723,World Bank Upper Middle Income,Chronic respiratory diseases,1995,1301.4513564607696
527729,World Bank Upper Middle Income,Chronic respiratory diseases,1996,1271.209903971936
527735,World Bank Upper Middle Income,Chronic respiratory diseases,1997,1231.0102993547769
527741,World Bank Upper Middle Income,Chronic respiratory diseases,1998,1200.6289225958512
527747,World Bank Upper Middle Income,Chronic respiratory diseases,1999,1166.3652431659084
527753,World Bank Upper Middle Income,Chronic respiratory diseases,2000,1132.971295978835
527759,World Bank Upper Middle Income,Chronic respiratory diseases,2001,1088.9939449800231
527765,World Bank Upper Middle Income,Chronic respiratory diseases,2002,1062.9475122313368
527771,World Bank Upper Middle Income,Chronic respiratory diseases,2003,1039.6577095068897
527777,World Bank Upper Middle Income,Chronic respiratory diseases,2004,1005.081727783192
527783,World Bank Upper Middle Income,Chronic respiratory diseases,2005,955.0684605420807
527789,World Bank Upper Middle Income,Chronic respiratory diseases,2006,887.5832031266423
527795,World Bank Upper Middle Income,Chronic respiratory diseases,2007,845.7280527461828
527801,World Bank Upper Middle Income,Chronic respiratory diseases,2008,825.0719466096483
527807,World Bank Upper Middle Income,Chronic respiratory diseases,2009,814.1548444421353
527813,World Bank Upper Middle Income,Chronic respiratory diseases,2010,804.9858057771719
527816,World Bank Upper Middle Income,Chronic respiratory diseases,2011,786.2882496360361
527825,World Bank Upper Middle Income,Chronic respiratory diseases,2012,767.2938770846553
527831,World Bank Upper Middle Income,Chronic respiratory diseases,2013,742.7764747554062
527837,World Bank Upper Middle Income,Chronic respiratory diseases,2014,745.5566521554492
527840,World Bank Upper Middle Income,Chronic respiratory diseases,2015,756.0028201704089
527855,World Bank Upper Middle Income,Chronic respiratory diseases,2016,760.8394583880928
527849,World Bank Upper Middle Income,Chronic respiratory diseases,2017,763.1796688615688
211853,World Bank High Income,Diabetes and kidney diseases,1990,509.6021058262621
211859,World Bank High Income,Diabetes and kidney diseases,1991,513.3359109578773
211865,World Bank High Income,Diabetes and kidney diseases,1992,511.9023878210645
211871,World Bank High Income,Diabetes and kidney diseases,1993,520.1485167598128
211877,World Bank High Income,Diabetes and kidney diseases,1994,522.3783656593621
211883,World Bank High Income,Diabetes and kidney diseases,1995,530.5351281859669
211889,World Bank High Income,Diabetes and kidney diseases,1996,532.1173798769763
211895,World Bank High Income,Diabetes and kidney diseases,1997,533.5342615766427
211901,World Bank High Income,Diabetes and kidney diseases,1998,541.7291266661873
211907,World Bank High Income,Diabetes and kidney diseases,1999,551.8025148029026
211913,World Bank High Income,Diabetes and kidney diseases,2000,554.6226065094414
211919,World Bank High Income,Diabetes and kidney diseases,2001,560.7885155675473
211925,World Bank High Income,Diabetes and kidney diseases,2002,567.4472059719583
211931,World Bank High Income,Diabetes and kidney diseases,2003,575.886836281305
211937,World Bank High Income,Diabetes and kidney diseases,2004,568.6816783172608
211943,World Bank High Income,Diabetes and kidney diseases,2005,573.7417218263694
211949,World Bank High Income,Diabetes and kidney diseases,2006,568.7165409806099
211955,World Bank High Income,Diabetes and kidney diseases,2007,567.3527349193847
211961,World Bank High Income,Diabetes and kidney diseases,2008,566.7136677131418
211967,World Bank High Income,Diabetes and kidney diseases,2009,565.0146754552019
211973,World Bank High Income,Diabetes and kidney diseases,2010,560.4357722003289
211979,World Bank High Income,Diabetes and kidney diseases,2011,562.2580360275883
211985,World Bank High Income,Diabetes and kidney diseases,2012,560.5244835902399
211991,World Bank High Income,Diabetes and kidney diseases,2013,560.4050286534127
211997,World Bank High Income,Diabetes and kidney diseases,2014,560.5872379014559
212000,World Bank High Income,Diabetes and kidney diseases,2015,569.7067122379877
212015,World Bank High Income,Diabetes and kidney diseases,2016,575.1633158596833
212009,World Bank High Income,Diabetes and kidney diseases,2017,581.0905681626438
222269,World Bank Low Income,Diabetes and kidney diseases,1990,954.0608866058618
222275,World Bank Low Income,Diabetes and kidney diseases,1991,944.3843835079014
222281,World Bank Low Income,Diabetes and kidney diseases,1992,937.5780116594092
222287,World Bank Low Income,Diabetes and kidney diseases,1993,932.8914240403732
222293,World Bank Low Income,Diabetes and kidney diseases,1994,927.4064340049856
222299,World Bank Low Income,Diabetes and kidney diseases,1995,919.0736365101627
222305,World Bank Low Income,Diabetes and kidney diseases,1996,907.0250252254964
222311,World Bank Low Income,Diabetes and kidney diseases,1997,890.2250103568922
222317,World Bank Low Income,Diabetes and kidney diseases,1998,875.3188462027306
222323,World Bank Low Income,Diabetes and kidney diseases,1999,857.1400485037464
222329,World Bank Low Income,Diabetes and kidney diseases,2000,840.5981078031522
222335,World Bank Low Income,Diabetes and kidney diseases,2001,823.2774884665265
222341,World Bank Low Income,Diabetes and kidney diseases,2002,805.0292786438768
222347,World Bank Low Income,Diabetes and kidney diseases,2003,795.0847799284089
222353,World Bank Low Income,Diabetes and kidney diseases,2004,782.2652874305037
222359,World Bank Low Income,Diabetes and kidney diseases,2005,765.8571109104982
222365,World Bank Low Income,Diabetes and kidney diseases,2006,756.8357805156586
222371,World Bank Low Income,Diabetes and kidney diseases,2007,747.4937863639328
222377,World Bank Low Income,Diabetes and kidney diseases,2008,738.3452602988198
222383,World Bank Low Income,Diabetes and kidney diseases,2009,730.9263572453393
222389,World Bank Low Income,Diabetes and kidney diseases,2010,724.9644569146956
222395,World Bank Low Income,Diabetes and kidney diseases,2011,718.9131820839003
222401,World Bank Low Income,Diabetes and kidney diseases,2012,714.6774209633843
222407,World Bank Low Income,Diabetes and kidney diseases,2013,711.0986238289894
222413,World Bank Low Income,Diabetes and kidney diseases,2014,706.9490108623462
222419,World Bank Low Income,Diabetes and kidney diseases,2015,704.1197211818346
222431,World Bank Low Income,Diabetes and kidney diseases,2016,701.4084208715828
222425,World Bank Low Income,Diabetes and kidney diseases,2017,694.3126274912902
219413,World Bank Lower Middle Income,Diabetes and kidney diseases,1990,715.6794321552464
219419,World Bank Lower Middle Income,Diabetes and kidney diseases,1991,718.7803356923413
219425,World Bank Lower Middle Income,Diabetes and kidney diseases,1992,725.6187246326268
219431,World Bank Lower Middle Income,Diabetes and kidney diseases,1993,723.8226669027598
219437,World Bank Lower Middle Income,Diabetes and kidney diseases,1994,725.3977386555626
219443,World Bank Lower Middle Income,Diabetes and kidney diseases,1995,727.7417196972455
219449,World Bank Lower Middle Income,Diabetes and kidney diseases,1996,735.3741421371266
219455,World Bank Lower Middle Income,Diabetes and kidney diseases,1997,756.6879393251194
219461,World Bank Lower Middle Income,Diabetes and kidney diseases,1998,763.3751061711392
219467,World Bank Lower Middle Income,Diabetes and kidney diseases,1999,766.8670439535091
219473,World Bank Lower Middle Income,Diabetes and kidney diseases,2000,777.0598647962332
219479,World Bank Lower Middle Income,Diabetes and kidney diseases,2001,783.4382643223997
219485,World Bank Lower Middle Income,Diabetes and kidney diseases,2002,787.5849926090876
219491,World Bank Lower Middle Income,Diabetes and kidney diseases,2003,791.2002055537108
219497,World Bank Lower Middle Income,Diabetes and kidney diseases,2004,789.8591389374585
219503,World Bank Lower Middle Income,Diabetes and kidney diseases,2005,801.1489554389335
219509,World Bank Lower Middle Income,Diabetes and kidney diseases,2006,808.0770253637094
219515,World Bank Lower Middle Income,Diabetes and kidney diseases,2007,813.6545826729158
219521,World Bank Lower Middle Income,Diabetes and kidney diseases,2008,823.9237390131317
219527,World Bank Lower Middle Income,Diabetes and kidney diseases,2009,827.4124213589754
219533,World Bank Lower Middle Income,Diabetes and kidney diseases,2010,833.8701677953873
219539,World Bank Lower Middle Income,Diabetes and kidney diseases,2011,846.6026076044269
219545,World Bank Lower Middle Income,Diabetes and kidney diseases,2012,858.4691040996852
219551,World Bank Lower Middle Income,Diabetes and kidney diseases,2013,867.4794779484097
219557,World Bank Lower Middle Income,Diabetes and kidney diseases,2014,878.7505743104509
219563,World Bank Lower Middle Income,Diabetes and kidney diseases,2015,890.4186630416158
219575,World Bank Lower Middle Income,Diabetes and kidney diseases,2016,902.3696001521446
219569,World Bank Lower Middle Income,Diabetes and kidney diseases,2017,899.655783931711
220757,World Bank Upper Middle Income,Diabetes and kidney diseases,1990,547.5335884195691
220763,World Bank Upper Middle Income,Diabetes and kidney diseases,1991,549.1435697273848
220769,World Bank Upper Middle Income,Diabetes and kidney diseases,1992,561.0347645819139
220775,World Bank Upper Middle Income,Diabetes and kidney diseases,1993,572.9589573684326
220781,World Bank Upper Middle Income,Diabetes and kidney diseases,1994,582.1321268046628
220787,World Bank Upper Middle Income,Diabetes and kidney diseases,1995,588.34603689471
220793,World Bank Upper Middle Income,Diabetes and kidney diseases,1996,591.8687245340774
220799,World Bank Upper Middle Income,Diabetes and kidney diseases,1997,591.8910335723874
220805,World Bank Upper Middle Income,Diabetes and kidney diseases,1998,595.0325150151813
220811,World Bank Upper Middle Income,Diabetes and kidney diseases,1999,602.4432868237984
220817,World Bank Upper Middle Income,Diabetes and kidney diseases,2000,603.3730239030684
220823,World Bank Upper Middle Income,Diabetes and kidney diseases,2001,596.3514658817431
220829,World Bank Upper Middle Income,Diabetes and kidney diseases,2002,600.2671208327428
220835,World Bank Upper Middle Income,Diabetes and kidney diseases,2003,600.520125898964
220841,World Bank Upper Middle Income,Diabetes and kidney diseases,2004,601.7046944319569
220847,World Bank Upper Middle Income,Diabetes and kidney diseases,2005,603.7099749123453
220853,World Bank Upper Middle Income,Diabetes and kidney diseases,2006,594.0134068702197
220859,World Bank Upper Middle Income,Diabetes and kidney diseases,2007,590.9446757968087
220865,World Bank Upper Middle Income,Diabetes and kidney diseases,2008,600.1543533685634
220871,World Bank Upper Middle Income,Diabetes and kidney diseases,2009,612.0801261840998
220877,World Bank Upper Middle Income,Diabetes and kidney diseases,2010,619.998604678406
220883,World Bank Upper Middle Income,Diabetes and kidney diseases,2011,625.1240273922341
220889,World Bank Upper Middle Income,Diabetes and kidney diseases,2012,635.0854645672648
220895,World Bank Upper Middle Income,Diabetes and kidney diseases,2013,643.952085665935
220901,World Bank Upper Middle Income,Diabetes and kidney diseases,2014,663.7811127505913
220904,World Bank Upper Middle Income,Diabetes and kidney diseases,2015,683.4448241223718
220919,World Bank Upper Middle Income,Diabetes and kidney diseases,2016,699.8504637551068
220913,World Bank Upper Middle Income,Diabetes and kidney diseases,2017,695.308684368805
75437,World Bank High Income,Digestive diseases,1990,815.1561346957053
75443,World Bank High Income,Digestive diseases,1991,809.7431964981567
75449,World Bank High Income,Digestive diseases,1992,802.0654421419878
75455,World Bank High Income,Digestive diseases,1993,798.0091266043182
75461,World Bank High Income,Digestive diseases,1994,791.7808002141385
75467,World Bank High Income,Digestive diseases,1995,786.444266959619
75473,World Bank High Income,Digestive diseases,1996,775.0252999710706
75479,World Bank High Income,Digestive diseases,1997,766.5693326625155
75485,World Bank High Income,Digestive diseases,1998,760.4535228755619
75491,World Bank High Income,Digestive diseases,1999,755.2674488139613
75497,World Bank High Income,Digestive diseases,2000,747.884769970471
75503,World Bank High Income,Digestive diseases,2001,743.0458327943232
75509,World Bank High Income,Digestive diseases,2002,739.3121938871515
75515,World Bank High Income,Digestive diseases,2003,738.0560285118837
75521,World Bank High Income,Digestive diseases,2004,729.9639140776759
75527,World Bank High Income,Digestive diseases,2005,730.7105010401987
75533,World Bank High Income,Digestive diseases,2006,729.6330262379164
75539,World Bank High Income,Digestive diseases,2007,728.391458021542
75545,World Bank High Income,Digestive diseases,2008,724.9134913545739
75551,World Bank High Income,Digestive diseases,2009,718.8413417851465
75557,World Bank High Income,Digestive diseases,2010,711.6954819554343
75563,World Bank High Income,Digestive diseases,2011,709.6053474584726
75569,World Bank High Income,Digestive diseases,2012,704.141328901821
75575,World Bank High Income,Digestive diseases,2013,700.6510261605663
75581,World Bank High Income,Digestive diseases,2014,696.7684165771933
75584,World Bank High Income,Digestive diseases,2015,699.8326904090907
75599,World Bank High Income,Digestive diseases,2016,702.0484110824395
75593,World Bank High Income,Digestive diseases,2017,705.7020013133138
85853,World Bank Low Income,Digestive diseases,1990,1277.4060463127146
85859,World Bank Low Income,Digestive diseases,1991,1274.7632795815362
85865,World Bank Low Income,Digestive diseases,1992,1271.3338132341048
85871,World Bank Low Income,Digestive diseases,1993,1265.4859543499879
85877,World Bank Low Income,Digestive diseases,1994,1257.9710602953594
85883,World Bank Low Income,Digestive diseases,1995,1252.175385855986
85889,World Bank Low Income,Digestive diseases,1996,1242.997103753671
85895,World Bank Low Income,Digestive diseases,1997,1228.1351626056075
85901,World Bank Low Income,Digestive diseases,1998,1211.469695684308
85907,World Bank Low Income,Digestive diseases,1999,1192.7159852044495
85913,World Bank Low Income,Digestive diseases,2000,1172.6513165697495
85919,World Bank Low Income,Digestive diseases,2001,1148.76726804164
85925,World Bank Low Income,Digestive diseases,2002,1120.673578277374
85931,World Bank Low Income,Digestive diseases,2003,1102.231791486192
85937,World Bank Low Income,Digestive diseases,2004,1081.9941771893866
85943,World Bank Low Income,Digestive diseases,2005,1061.2546635301871
85949,World Bank Low Income,Digestive diseases,2006,1049.5032814257145
85955,World Bank Low Income,Digestive diseases,2007,1036.0938218001706
85961,World Bank Low Income,Digestive diseases,2008,1021.9266405911328
85967,World Bank Low Income,Digestive diseases,2009,1010.6251987675923
85973,World Bank Low Income,Digestive diseases,2010,999.0713319191098
85979,World Bank Low Income,Digestive diseases,2011,988.0176021496871
85985,World Bank Low Income,Digestive diseases,2012,977.5086408590244
